,ic
5347,
5348,
5349,
5350,
5351,
5352,
5353,
5354,
5355,
5356,
5357,
5358,
5359,
5360,
5361,
5362,
5363,
5364,
5365,
5366,
5367,
5368,
5369,
5370,
5371,
5372,
5373,
5374,
5375,
5376,0.12525027808676306
5377,0.17597330367074526
5378,0.2507230255839822
5379,0.2164627363737486
5380,0.16974416017797553
5381,0.1635150166852058
5382,0.15639599555061176
5383,0.1959955506117909
5384,0.21201334816462733
5385,0.3414905450500556
5386,0.35795328142380417
5387,0.2925472747497219
5388,0.30055617352614017
5389,0.3147942157953281
5390,0.32547274749721916
5391,0.3348164627363737
5392,0.30055617352614017
5393,0.2703003337041157
5394,0.30856507230255836
5395,0.30589543937708563
5396,0.30189098998887653
5397,0.28720800889877635
5398,0.27786429365962184
5399,0.2729699666295884
5400,0.27875417130144603
5401,0.27875417130144603
5402,0.2511679644048943
5403,0.2596218020022247
5404,0.27474972191323693
5405,0.3419354838709677
5406,0.3561735261401557
5407,0.33793103448275863
5408,0.33303670745272523
5409,0.3432703003337041
5410,0.439377085650723
5411,0.48609566184649605
5412,0.4282536151279199
5413,0.4269187986651835
5414,0.4282536151279199
5415,0.3699666295884316
5416,0.32769744160177977
5417,0.4522803114571746
5418,0.5470522803114571
5419,0.4518353726362625
5420,0.5021134593993326
5421,0.3681868743047831
5422,0.40511679644048937
5423,0.3842046718576196
5424,0.34949944382647385
5425,0.3477196885428253
5426,0.3508342602892102
5427,0.32057842046718577
5428,0.3561735261401557
5429,0.29744160177975526
5430,0.2756395995550612
5431,0.21423804226918797
5432,0.2551724137931034
5433,0.31123470522803115
5434,0.23381535038932147
5435,0.2569521690767519
5436,0.22313681868743046
5437,0.21557285873192436
5438,0.17552836484983317
5439,0.20934371523915463
5440,0.18531701890989988
5441,0.08164627363737487
5442,0.18175750834260287
5443,0.13948832035595105
5444,0.1479421579532814
5445,0.1421579532814238
5446,0.1982202447163515
5447,0.185761957730812
5448,0.047385984427141266
5449,0.08921023359288098
5450,0.08342602892102337
5451,0.1581757508342603
5452,0.13281423804226916
5453,0.15595105672969967
5454,0.1804226918798665
5455,0.2462736373748609
5456,0.2525027808676307
5457,0.22180200222469412
5458,0.16929922135706338
5459,0.16440489432703
5460,0.21112347052280311
5461,0.08921023359288098
5462,0.05761957730812013
5463,0.11012235817575085
5464,0.26273637374860953
5465,0.22847608453837595
5466,0.24805339265850945
5467,0.2449388209121246
5468,0.2186874304783092
5469,0.13637374860956616
5470,0.060289210233592884
5471,0.03626251390433815
5472,0.04872080088987764
5473,0.0353726362625139
5474,0.09232480533926585
5475,0.12880978865406006
5476,0.17285873192436038
5477,0.21290322580645163
5478,0.13815350389321468
5479,0.1408231368186874
5480,0.08654060066740822
5481,0.06518353726362626
5482,-0.016240266963292546
5483,-0.16395995550611792
5484,-0.19243604004449388
5485,-0.1096774193548387
5486,-0.040711902113459396
5487,-0.03937708565072302
5488,-0.05272525027808676
5489,0.057174638487208
5490,0.0389321468298109
5491,0.11857619577308119
5492,0.13592880978865407
5493,0.10745272525027807
5494,0.06874304783092325
5495,0.09721913236929922
5496,0.11768631813125695
5497,0.13993325917686317
5498,0.11991101223581756
5499,0.21423804226918797
5500,0.2293659621802002
5501,0.26807563959955505
5502,0.17241379310344826
5503,0.1479421579532814
5504,0.09499443826473859
5505,0.0424916573971079
5506,0.030478309232480537
5507,0.02246941045606229
5508,0.11480698702702984
5509,0.07653799135135322
5510,0.06387714854976095
5511,0.029601605425498976
5512,0.07367016087097866
5513,0.1653683671514717
5514,0.16547894447385914
5515,0.08405817995643705
5516,0.06131564850933737
5517,0.06409875870623845
5518,0.027917577833727548
5519,-0.08777286470923942
5520,0.022557402889651863
5521,-0.007387653527486476
5522,-0.06265717734174514
5523,-0.04985624863751764
5524,0.013923817187054474
5525,-0.10105996345442765
5526,-0.08848361244676554
5527,-0.16169594152708425
5528,-0.1464246581606374
5529,-0.1028565850269508
5530,-0.037279897629855535
5531,-0.03817820841611711
5532,0.11318715906895897
5533,0.18684864354240846
5534,0.17472144792787714
5535,0.19807752837067819
5536,0.14036106035337176
5537,0.09335307639278363
5538,0.01072034988815138
5539,-0.013400437360189227
5540,0.00646601384280285
5541,-0.051059212758684566
5542,-0.055072600661113934
5543,-0.03188413722485543
5544,-0.09064593593655539
5545,-0.07856666703158752
5546,-0.14044069942473575
5547,-0.142841251301072
5548,-0.11148197872795386
5549,-0.14641744910777174
5550,-0.1613262167220889
5551,-0.1357214381521089
5552,-0.1357214381521089
5553,-0.12659917755499994
5554,-0.10546223226901578
5555,0.021581933607794365
5556,-0.0035599065744815446
5557,0.010679719723444637
5558,-0.058738458478945495
5559,-0.21537434775613348
5560,-0.22983646821496473
5561,-0.24007119961659917
5562,-0.34820336181647615
5563,-0.34642340852923537
5564,-0.4153503893214683
5565,-0.44916573971078977
5566,-0.46918798665183536
5567,-0.5101223581757508
5568,-0.42602892102335926
5569,-0.44649610678531704
5570,-0.3846496106785317
5571,-0.3067853170189099
5572,-0.2707452725250278
5573,-0.2645161290322581
5574,-0.21690767519466073
5575,-0.2360400444938821
5576,-0.15773081201334815
5577,-0.1635150166852058
5578,-0.16395995550611792
5579,-0.10300333704115683
5580,-0.0002224694104560623
5581,-0.03937708565072302
5582,-0.03759733036707453
5583,-0.0424916573971079
5584,-0.047385984427141266
5585,-0.11501668520578419
5586,-0.0731924360400445
5587,-0.10166852057842046
5588,-0.10433815350389322
5589,-0.00778642936596218
5590,-0.06473859844271414
5591,-0.03270300333704116
5592,0.0028921023359288096
5593,-0.014015572858731925
5594,-0.04427141268075639
5595,0.0002224694104560623
5596,0.08120133481646273
5597,0.14482758620689654
5598,0.10478309232480533
5599,0.17908787541713014
5600,0.207119021134594
5601,0.15283648498331479
5602,0.182202447163515
5603,0.13815350389321468
5604,0.1670745272525028
5605,0.2266963292547275
5606,0.24983314794215797
5607,0.296551724137931
5608,0.31835372636262516
5609,0.3446051167964405
5610,0.33303670745272523
5611,0.3810901001112347
5612,0.3503893214682981
5613,0.2921023359288098
5614,0.28987764182424913
5615,0.2978865406006674
5616,0.3228031145717464
5617,0.38776418242491656
5618,0.4487208008898776
5619,0.3575083426028921
5620,0.30856507230255836
5621,0.3067853170189099
5622,0.33748609566184645
5623,0.36240266963292544
5624,0.40867630700778645
5625,0.31657397107897667
5626,0.20177975528364847
5627,0.20133481646273638
5628,0.1132369299221357
5629,0.13058954393770855
5630,0.19288097886540603
5631,0.1875417130144605
5632,0.1804226918798665
5633,0.1959955506117909
5634,0.19911012235817574
5635,0.19777530589543937
5636,0.18131256952169075
5637,0.21245828698553948
5638,0.15773081201334815
5639,0.10567296996662959
5640,0.034482758620689655
5641,0.12480533926585094
5642,-0.018909899888765295
5643,-0.09410456062291435
5644,-0.21156840934371526
5645,-0.19332591768631813
5646,-0.19733036707452725
5647,-0.1408231368186874
5648,-0.04471635150166852
5649,-0.03848720800889878
5650,-0.0967741935483871
5651,-0.03848720800889878
5652,-0.017130144605116793
5653,-0.005116796440489433
5654,0.10433815350389322
5655,0.2186874304783092
5656,0.18175750834260287
5657,0.2
5658,0.19199110122358176
5659,0.2676307007786429
5660,0.30634037819799775
5661,0.2645161290322581
5662,0.3450500556173526
5663,0.3477196885428253
5664,0.27341490545050057
5665,0.32502780867630704
5666,0.28587319243604004
5667,0.27430478309232476
5668,0.2551724137931034
5669,0.21023359288097884
5670,0.17018909899888765
5671,0.17374860956618463
5672,0.27430478309232476
5673,0.31746384872080086
5674,0.3957730812013348
5675,0.36551724137931035
5676,0.3139043381535039
5677,0.3486095661846496
5678,0.3882091212458286
5679,0.3521690767519466
5680,0.35839822024471635
5681,0.48031145717463847
5682,0.5203559510567297
5683,0.4042269187986652
5684,0.33748609566184645
5685,0.36240266963292544
5686,0.2783092324805339
5687,0.2667408231368187
5688,0.31345939933259176
5689,0.24716351501668518
5690,0.17196885428253617
5691,0.16974416017797553
5692,0.06607341490545049
5693,0.06874304783092325
5694,0.1884315906562848
5695,0.18086763070077863
5696,0.16662958843159065
5697,0.23737486095661847
5698,0.2578420467185762
5699,0.31746384872080086
5700,0.2418242491657397
5701,0.20355951056729701
5702,0.15550611790878754
5703,0.185761957730812
5704,0.217797552836485
5705,0.22091212458286985
5706,0.16129032258064516
5707,0.19421579532814237
5708,0.1403781979977753
5709,0.17819799777530587
5710,0.1875417130144605
5711,0.14973857028913
5712,0.15908332504714404
5713,0.12327548146763759
5714,0.17000445458713923
5715,0.20427236820810707
5716,0.26680018462039257
5717,0.2100578601181406
5718,0.1726746816225393
5719,0.17467735189908937
5720,0.11971517875377082
5721,0.03983088661138471
5722,0.12527815174418766
5723,0.0589675136984187
5724,0.024032043318600833
5725,0.0
5726,-0.004005340553100139
5727,0.03204272442480111
5728,0.0251446379166842
5729,-0.015798843292783877
5730,0.0164664000516339
5731,-0.05184690827068513
5732,0.04939920015490171
5733,0.1188251030753041
5734,0.14107699503697155
5735,0.05985758937688541
5736,0.08188696241893617
5737,0.03315531902288448
5738,0.09501557867631995
5739,-0.024699600077450853
5740,-0.0647458008233831
5741,-0.05673601103079962
5742,-0.11991101223581756
5743,-0.059844271412680755
5744,-0.00778642936596218
5745,-0.07363737486095662
5746,-0.06251390433815351
5747,-0.06473859844271414
5748,-0.04427141268075639
5749,-0.06206896551724137
5750,-0.16484983314794216
5751,-0.022914349276974413
5752,0.03314794215795328
5753,-0.07764182424916574
5754,-0.09054505005561733
5755,-0.01668520578420467
5756,0.046941045606229144
5757,0.0771968854282536
5758,0.10923248053392658
5759,0.09766407119021134
5760,0.10923248053392658
5761,0.01757508342602892
5762,0.021581933607794365
5763,-0.020914451125079076
5764,-0.110579597969833
5765,-0.11991101223581756
5766,-0.11857619577308119
5767,-0.12836484983314794
5768,-0.11457174638487205
5769,-0.08342602892102337
5770,-0.04382647385984427
5771,-0.04427141268075639
5772,0.04204671857619577
5773,0.021579532814238044
5774,-0.009121245828698554
5775,0.0064516129032258064
5776,0.004226918798665183
5777,-0.1296996662958843
5778,-0.04382647385984427
5779,-0.07007786429365963
5780,-0.034037819799777526
5781,-0.00867630700778643
5782,-0.02469410456062291
5783,0.06630325994971878
5784,0.08855267604022843
5785,0.09967738408548325
5786,-0.04917120956002634
5787,-0.038491489836581703
5788,-0.0910001118101845
5789,-0.15374346518542173
5790,-0.21648681856065893
5791,-0.12170430601508783
5792,-0.19001001341295246
5793,-0.2207142076178558
5794,-0.15596840679447269
5795,-0.06897318988057993
5796,-0.12059183521056235
5797,-0.14973857028913
5798,-0.1748804104714059
5799,-0.17087551557511418
5800,-0.19178996670019324
5801,-0.1877850718039015
5802,-0.1748804104714059
5803,-0.1488485936455096
5804,-0.19757481488372575
5805,-0.21047947621622135
5806,-0.2458560478001317
5807,-0.2133719003079876
5808,-0.2463010361219419
5809,-0.2360400444938821
5810,-0.25383759733036704
5811,-0.2418242491657397
5812,-0.19332591768631813
5813,-0.2040044493882091
5814,-0.22402669632925473
5815,-0.2987764182424916
5816,-0.24004449388209118
5817,-0.22269187986651834
5818,-0.18934253093023717
5819,-0.08210034537398063
5820,-0.020024474481458693
5821,-0.13260651989943756
5822,-0.041175165441483544
5823,0.014699340962684661
5824,0.033407593097010586
5825,-0.051505144747843394
5826,-0.0020066939512146773
5827,0.0339477746458127
5828,0.1237991636575764
5829,0.10847102744108568
5830,0.13654323951176003
5831,0.14125937113963333
5832,0.13070421940105978
5833,0.10532693968917015
5834,0.24209475689749557
5835,0.3541590274836276
5836,0.38223123955430194
5837,0.3869473711821752
5838,0.41434585016315334
5839,0.39435843516883323
5840,0.46644787576632496
5841,0.4929480439610415
5842,0.4933971993541723
5843,0.4889056454228644
5844,0.47318520666328673
5845,0.4797497427091974
5846,0.5178073517901884
5847,0.5191505615224585
5848,0.44534120160362195
5849,0.351984821327637
5850,0.27359226277053
5851,0.3361276371180797
5852,0.33600975383116877
5853,0.4017819863133807
5854,0.33763940756712035
5855,0.3091475935038953
5856,0.3331849873832479
5857,0.32528646324325117
5858,0.34015572858731924
5859,0.26941045606229147
5860,0.23159065628476083
5861,0.19733036707452725
5862,0.18442714126807563
5863,0.1439377085650723
5864,0.009566184649610678
